Type,Region,Name,Price(USD),Variant Price,Code,GBs,Validity(Days),Slug,Coverage,ID,Billing starts,Pre-Install Days,Speed,Support TopUp Type,Breakout IP
Multi-Area,Global (120+ areas),Global (120+ areas) 1GB 7Days,$4.60,$9.20,GL-120,1,7,GL-120_1_7,"PR,HK,PT,HN,PY,HR,HU,QA,ID,IE,IL,AE,IN,ZA,IS,IT,AL,AM,AR,AT,ZM,AU,AZ,RO,BA,RS,BE,RU,BG,JO,JP,BO,SA,BR,SC,SE,SG,BW,SI,SK,KE,SN,KG,CA,CD,SV,CF,CG,CH,CI,KR,SZ,CL,CM,CN,KW,CO,CR,KZ,TD,TH,CY,CZ,TN,LI,TR,LK,DE,TW,LR,TZ,DK,LT,LU,LV,UA,UG,MA,MC,MD,ME,MG,US,EC,MK,ML,EE,MO,EG,UY,UZ,MT,MU,MW,MX,MY,ES,NE,NG,NI,NL,NO,FI,FR,NZ,GA,GB,OM,GH,GI,GR,GT,GU,GW,PA,XK,PE,PH,PK,PL",PHS30M6EZ,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK/NO
Single,Albania,Albania 100MB 7Days,$0.28,$0.56,AL,0,7,AL_0.1_7,AL,PFRQ8FIBC,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Albania,Albania 1GB/Day,$2.80,$5.60,AL,1,1,AL_1_Daily,AL,PT6YNFLX8,First Network Connection,180,3G/4G,Non-reloadable,
Single,Albania,Albania 2GB/Day,$5.30,$10.60,AL,2,1,AL_2_Daily,AL,PSXVB0YDP,First Network Connection,180,3G/4G,Non-reloadable,
Single,Albania,Albania 500MB/Day,$1.60,$3.20,AL,0,1,AL_0.5_Daily,AL,PP2FWWA8N,First Network Connection,180,3G/4G,Non-reloadable,
Single,Algeria,Algeria 100MB 7Days,$0.11,$0.22,DZ,0,7,DZ_0.1_7,DZ,PJVN54W3O,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,NL
Single,Algeria,Algeria 3GB 30Days,$3.00,$6.00,DZ,3,30,DZ_3_30,DZ,PWI9OQIY7,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,NL
Single,Argentina,Argentina 100MB 7Days,$0.46,$0.92,AR,0,7,AR_0.1_7,AR,PHDE7ZP42,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Argentina,Argentina 1GB/Day,$3.40,$6.80,AR,1,1,AR_1_Daily,AR,P0VDPD9F2,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,Armenia,Armenia 100MB 7Days,$0.56,$1.12,AM,0,7,AM_0.1_7,AM,PZBBJD4HG,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Multi-Area,Asia (12 areas),Asia (12 areas) 1GB 7Days,$3.50,$7.00,AS-12,1,7,AS-12_1_7,"MO,HK,TW,TH,SG,JP,KR,VN,ID,CN,MY,KH",PMWKBKC8Q,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Multi-Area,Asia (12 areas),Asia (12 areas) 3GB 15Days,$8.80,$17.60,AS-12,3,15,AS-12_3_15,"MO,HK,TW,TH,SG,JP,KR,VN,ID,CN,MY,KH",PDX275FW0,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Multi-Area,Asia (7 areas),Asia (7 areas)  3GB 30Days,$4.80,$9.60,AS-7,3,30,AS-7_3_30,"TH,SG,VN,PH,ID,MY,KH",P0523NZM8,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Multi-Area,Asia (20 areas),Asia-20 20GB 30Days,$40.00,$80.00,AS-20,20,30,AS-20_20_30,"MO,HK,IL,IN,JP,KR,CN,NZ,MY,KW,SA,AU,TH,SG,VN,PH,ID,PK,KH,LK",PALTQIBLC,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Multi-Area,Asia (20 areas),Asia-20 3GB 30Days,$9.20,$18.40,AS-20,3,30,AS-20_3_30,"MO,HK,IL,IN,JP,KR,CN,NZ,MY,KW,SA,AU,TH,SG,VN,PH,ID,PK,KH,LK",PTPN61LUV,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Single,Australia,Australia 100MB 7Days,$0.11,$0.22,AU,0,7,AU_0.1_7,AU,PGWEQ1CSB,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Single,Azerbaijan,Azerbaijan 100MB 7Days,$0.79,$1.58,AZ,0,7,AZ_0.1_7,AZ,PLYTQ0XIR,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Bolivia,Bolivia 100MB 7Days,$0.63,$1.26,BO,0,7,BO_0.1_7,BO,PWB2NZA39,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
